cartodb_id,the_geom,url,name,line,median_income
575,0101000020E61000004F0E9115FC7852C0995F0F8614564440,http://www.mta.info/nyct/service/,2222 Pitkin Avenue,A-C,27155.000000000000
576,0101000020E6100000DD30AAE80F7C52C03E0E8E93D55F4440,http://www.mta.info/nyct/service/,42-01 28 Street,E-M-R,118563.000000000000
577,0101000020E6100000CC8C5789797A52C0457774DBD1564440,http://www.mta.info/nyct/service/,2084 Fulton Street,A-C,48688.000000000000
578,0101000020E6100000ABF9B41A127952C09C2034B8C0564440,http://www.mta.info/nyct/service/,104 Van Siclen Avenue,J-Z,37938.000000000000
579,0101000020E6100000A78B3B6D8D7E52C0EC36D5FA35604440,http://www.mta.info/nyct/service/,101 East 41 Street,4-5-6-6 Express-7-7 Express-S,99821.000000000000
580,0101000020E610000053204499397F52C026940FD5025C4440,http://www.mta.info/nyct/service/,116 Delancey Street,F-J-M-Z,48243.000000000000
581,0101000020E610000025935C533A7F52C0102A15D31C604440,http://www.mta.info/nyct/service/,1331 Broadway,B-D-F-M-N-Q-R,132500.000000000000
582,0101000020E6100000F16607BE8C7E52C0752A858CB1504440,http://www.mta.info/nyct/service/,956 Mc Donald Avenue,F,47477.000000000000
583,0101000020E610000014EF9C35787E52C05FE8CFBF37604440,http://www.mta.info/nyct/service/,107 East 42 Street,4-5-6-6 Express-7-7 Express-S,109306.000000000000
584,0101000020E61000009ED64E21577E52C0D84D552439614440,http://www.mta.info/nyct/service/,28 East 53 Street,E-M,100500.000000000000
585,0101000020E6100000C788D52E6D8052C016939713C75A4440,http://www.mta.info/nyct/service/,128 William Street,2-3-4-5-A-C-J-Z,134435.000000000000
586,0101000020E6100000A31D8230AA7D52C0ACCCBD8D1F534440,http://www.mta.info/nyct/service/,1713 Church Avenue,B-Q,44271.000000000000
587,0101000020E6100000CFFD8113547A52C00D03F336465F4440,http://www.mta.info/nyct/service/,53-02 Roosevelt Avenue,7,41496.000000000000
588,0101000020E6100000B3005ED6887D52C034D8678CA1504440,http://www.mta.info/nyct/service/,1518 Avenue H,B-Q,57692.000000000000
589,0101000020E61000006B0F4988F27F52C02ABAB4DB414F4440,http://www.mta.info/nyct/service/,1551 71 Street,D,43000.000000000000
590,0101000020E61000006C63FF78AF7852C09879DF5A00574440,http://www.mta.info/nyct/service/,214 Cleveland Street,J,48897.000000000000
591,0101000020E61000002E8DF400A67552C02C2C303CFA5B4440,http://www.mta.info/nyct/service/,111-37 75 Avenue (To Jamaica Only),E-F,81297.000000000000
592,0101000020E61000000568AD86C07C52C0313F603244534440,http://www.mta.info/nyct/service/,3000 Church Avenue (To Manhattan Only),2-5,40938.000000000000
593,0101000020E61000002E0208F1487D52C014AD62B7E25B4440,http://www.mta.info/nyct/service/,183 Bedford Avenue,L,74559.000000000000
594,0101000020E61000007DB681DBDA7C52C012813FEFA05C4440,http://www.mta.info/nyct/service/,623 Manhattan Avenue,G,71603.000000000000
595,0101000020E6100000AAB6116E327C52C0F4EE3816275B4440,http://www.mta.info/nyct/service/,95 Bushwick Avenue (To Manhattan Only),L,72891.000000000000
596,0101000020E61000007DCB400A9E7E52C08A51BDB048604440,http://www.mta.info/nyct/service/,43 East 41 Street,4-5-6-6 Express-7-7 Express-S,110793.000000000000
597,0101000020E610000001BFBBD2207F52C05DADE66F93614440,http://www.mta.info/nyct/service/,815 8 Avenue (Downtown Only),A-C-E,67369.000000000000
598,0101000020E6100000F2B1AD2F3B7F52C01DA7DF6A14604440,http://www.mta.info/nyct/service/,441 7 Avenue (Corner Of Broadway And W 35 St),B-D-F-M-N-Q-R,132500.000000000000
599,0101000020E61000003AD7C0F5287F52C04CC91E54BC604440,http://www.mta.info/nyct/service/,7 Times Square,1-2-3-7-7 Express-S-A-C-E-N-Q-R,81786.000000000000
600,0101000020E610000065B5608AFB7F52C0D4D99622D55D4440,http://www.mta.info/nyct/service/,378 6 Avenue,A-C-E-B-D-F-M,104940.000000000000
601,0101000020E610000086AA2232AC7352C08089A256AB594440,http://www.mta.info/nyct/service/,93-01 Sutphin Boulevard,E-J-Z,59097.000000000000
602,0101000020E61000008D066EC2CD7C52C0EE5C7784505A4440,http://www.mta.info/nyct/service/,1 Boerum Street,G,31369.000000000000
603,0101000020E610000051DBF6C3527A52C046A533D94F5F4440,http://www.mta.info/nyct/service/,41-31 53 Street,7,41496.000000000000
604,0101000020E6100000E071207D937852C08CF791AEAC5F4440,http://www.mta.info/nyct/service/,81-20 Roosevelt Avenue,7,44524.000000000000
605,0101000020E610000085324998697F52C0A0FBB38802604440,http://www.mta.info/nyct/service/,401 7 Avenue,1-2-3,143750.000000000000
606,0101000020E610000026F09E47BF7E52C07069F4BE7B4D4440,http://www.mta.info/nyct/service/,275 Kings Highway,N,45878.000000000000
607,0101000020E61000002AAAC6B94D7D52C0A4980A53A75A4440,http://www.mta.info/nyct/service/,302 Broadway (To Queens And Canarsie Only),J-M-Z,31685.000000000000
