X,Y,name,line,url
-73.845800393457907,40.754827896442706,126th St & Roosevelt Ave At Nw Corner,7-7 Express,http://www.mta.info/nyct/service/
-73.846013792624291,40.754236982958489,126th St & Roosevelt Ave At Sw Corner,7-7 Express,http://www.mta.info/nyct/service/
-73.859553728056468,40.729325244709045,64th Rd & Queens Blvd At Nw Corner,E-M-R,http://www.mta.info/nyct/service/
-73.866595435216411,40.691471443383264,75th St & Jamaica At Nw Corner,J-Z,http://www.mta.info/nyct/service/
-73.843295428473184,40.695268629061566,104th St & Jamaica Ave At Ne Corner,J-Z,http://www.mta.info/nyct/service/
-73.81641338400604,40.701204446886003,Van Wyck Expwy & 89th Ave At Sw Corner,E,http://www.mta.info/nyct/service/
-73.941995019566704,40.700629603595893,Flushing Ave & Broadway At Se Corner,J-M,http://www.mta.info/nyct/service/
-73.905264313133898,40.695712572040691,Halsey St & Wycoff Ave At Sw Corner (To Canarsie Only),L,http://www.mta.info/nyct/service/
-73.929725488882895,40.679487099808341,Utica Ave & Fulton St At Nw Corner,A-C,http://www.mta.info/nyct/service/
-73.965670010997002,40.68835812522105,Washington Ave & Lafayette Ave At Ne Corner,G,http://www.mta.info/nyct/service/
-73.967886131227488,40.687833512358885,Clinton Ave & Lafayette Ave At Sw Corner,G,http://www.mta.info/nyct/service/
-73.954969041209182,40.689330963836582,Bedford Ave & Lafayette Ave At Se Corner,G,http://www.mta.info/nyct/service/
-73.955289613734564,40.689553028818551,Bedford Ave & Lafayette Ave At Nw Corner,G,http://www.mta.info/nyct/service/
-73.930722821257078,40.668664701074725,Utica Ave & Eastern Pkwy At Se Corner,3-4,http://www.mta.info/nyct/service/
-73.962839959272983,40.651458081748423,St. Pauls Pl & Caton Ave At Se Corner,B-Q,http://www.mta.info/nyct/service/
-73.976998695750964,40.575498848633814,8th St & Surf Ave At Nw Corner,F-Q,http://www.mta.info/nyct/service/
-73.989474032633808,40.669850708349585,4th Ave & 10th St At Nw Corner,D-F-G-N-R,http://www.mta.info/nyct/service/
-73.976156607939473,40.624528141410401,Mcdonald Ave & Avenue J At Nw Corner,F,http://www.mta.info/nyct/service/
-74.250966837396106,40.513215628053359,Main St & Utah St At Nw Corner,@,http://www.mta.info/nyct/service/
-74.245432690405124,40.515388675675041,Tracy Av & Arthur Kill Rd At Nw Corner,@,http://www.mta.info/nyct/service/
-73.876575997805261,40.748547332042783,90th St & Roosevelt Ave At Nw Corner,7,http://www.mta.info/nyct/service/
-73.870973000407432,40.733330331727323,Woodhaven Blvd & Queens Blvd At Sw Corner,E-M-R,http://www.mta.info/nyct/service/
-73.868732998136522,40.733213333080549,Horace Harding Expwy & Queens Blvd At Ne Corner,E-M-R,http://www.mta.info/nyct/service/
-73.862302999365838,40.749777333480317,103rd St & Roosevelt Ave At Se Corner,7,http://www.mta.info/nyct/service/
-73.853491999708126,40.726595334196723,67th Ave & Queens Blvd At Se Corner,E-M-R,http://www.mta.info/nyct/service/
-73.843381999240236,40.721496333795173,71st & Queens Blvd At Ne Corner,E-F-M-R,http://www.mta.info/nyct/service/
-73.831327997163768,40.71397033389443,Union Tpke & Queens Blvd At Se Corner,E-F,http://www.mta.info/nyct/service/
-73.837984396689876,40.719023529388537,75th & Queens Blvd At Nw Corner (To Manhattan And Brooklyn Only),E-F,http://www.mta.info/nyct/service/
-73.8314850004449,40.714928333423615,Union Tpke & Queens Blvd At Nw Corner,E-F,http://www.mta.info/nyct/service/
-73.829909998544565,40.759390332448874,Main St & Roosevelt Ave At Se Corner,7-7 Express,http://www.mta.info/nyct/service/
-73.829961998765199,40.759710332377807,Main St & Roosevelt Ave At Ne Corner,7-7 Express,http://www.mta.info/nyct/service/
-73.82010000020064,40.708092332517346,Van Wyck Blvd & Queens Blvd At Sw Corner (To Jamaica Only),E-F,http://www.mta.info/nyct/service/
-73.817190999058923,40.702661332920563,Van Wyck Expwy & Jamaica Ave At Nw Corner,E,http://www.mta.info/nyct/service/
-73.807894000544138,40.700768334128405,Sutphin Blvd & Archer Ave At Nw Corner,E-J-Z,http://www.mta.info/nyct/service/
-73.809490998475937,40.705650333900657,Sutphin Blvd & Hillside Ave At Se Corner,F,http://www.mta.info/nyct/service/
-73.804491000392602,40.70709133377138,153rd St & Hillside Ave At Sw Corner,F,http://www.mta.info/nyct/service/
-73.802795997163599,40.707555333231497,Parsons Blvd & Hillside Ave At Sw Corner,F,http://www.mta.info/nyct/service/
-73.794914997692786,40.710147332666914,168th St & Hillside Ave At Nw Corner,F,http://www.mta.info/nyct/service/
-73.793212997404368,40.710821332093857,169th St & Hillside Ave At Nw Corner,F,http://www.mta.info/nyct/service/
-73.792947996116439,40.710947332020581,169th St & Hillside Ave At Ne Corner,F,http://www.mta.info/nyct/service/
-73.784500999973915,40.712335334239391,179th St & Hillside Ave At Sw Corner,F,http://www.mta.info/nyct/service/
-73.784303997975869,40.712400331961668,179th St & Hillside Ave At Se Corner,F,http://www.mta.info/nyct/service/
-73.78331399901316,40.712908332565291,180th St & Hillside Ave At Nw Corner,F,http://www.mta.info/nyct/service/
-73.782652000552062,40.712776333044097,180th St & Hillside Ave At Sw Corner,F,http://www.mta.info/nyct/service/
-73.754172818822596,40.604740777732168,Beach 22nd St & Mott Ave At Sw Corner,A,http://www.mta.info/nyct/service/
-73.827576999254958,40.583085332106755,Beach 106th St & Rockaway Frwy At Nw Corner,A-S,http://www.mta.info/nyct/service/
-73.827166000265578,40.583491334166851,Beach 106th St & Rockaway Frwy At Nw Corner,A-S,http://www.mta.info/nyct/service/
-73.820294999643892,40.5855713330171,Beach 98th St & Rockaway Frwy At Nw Corner,A-S,http://www.mta.info/nyct/service/
-73.796584999366331,40.590840334007666,Beach 67th St & Rockaway Frwy At Sw Corner,A,http://www.mta.info/nyct/service/
-73.796100000635803,40.591176333331646,Beach 69th St & Rockaway Frwy At Se Corner,A,http://www.mta.info/nyct/service/
-73.789149999383682,40.592231333730325,Beach 59th Sr & Rockaway Frwy At Sw Corner,A,http://www.mta.info/nyct/service/
-73.776164998189046,40.592826331679881,Beach 45th St & Edgemere Ave At Sw Corner,A,http://www.mta.info/nyct/service/
-73.776046997370287,40.593092335555177,Beach 45th St & Edgemere Ave At Ne Corner,A,http://www.mta.info/nyct/service/
-73.767884997615681,40.59541233222572,Beach 35th & Rockaway Frwy At Sw Corner,A,http://www.mta.info/nyct/service/
-73.899585999101774,40.676769333502293,Alabama Av & Fulton St At Se Corner,J,http://www.mta.info/nyct/service/
-73.899178393743568,40.651420852177374,Turnbull Ave & E 105th St At Se Corner,L,http://www.mta.info/nyct/service/
-74.00280399973542,40.739734332064046,8th Ave & 14th St At Sw Corner,A-C-E-L,http://www.mta.info/nyct/service/
-74.002654998591737,40.739949332382153,8th Ave & 14th St At Nw Corner,A-C-E-L,http://www.mta.info/nyct/service/
-74.002255998601143,40.739776334202176,8th Ave & 14th St At Ne Corner,A-C-E-L,http://www.mta.info/nyct/service/
-74.001762001879243,40.740419333338856,8th Ave & 15th St At Ne Corner,A-C-E-L,http://www.mta.info/nyct/service/
-74.001401999668943,40.740944332239174,8th Ave & 16th St At Se Corner,A-C-E-L,http://www.mta.info/nyct/service/
-74.001307999689288,40.741057332129181,8th Ave & 16th St At Ne Corner,A-C-E-L,http://www.mta.info/nyct/service/
-74.0075620007281,40.71020733187347,Fulton St & Nassau St At Ne Corner,2-3-4-5-A-C-J-Z,http://www.mta.info/nyct/service/
-73.99877099960112,40.745278334060743,8th Ave & 23rd St At Sw Corner,A-C-E,http://www.mta.info/nyct/service/
-73.998642000957105,40.74550533419756,8th Ave & 23rd St At Nw Corner,A-C-E,http://www.mta.info/nyct/service/
-73.997220000221631,40.737423334731652,6th Ave & 14th St At Sw Corner,1-2-3-L-F-M,http://www.mta.info/nyct/service/
-73.997110999180137,40.737572333688561,6th Ave & 14th St At Nw Corner,1-2-3-L-F-M,http://www.mta.info/nyct/service/
-73.996703998786629,40.737197334362278,6th Ave & 14th St At Se Corner,1-2-3-L-F-M,http://www.mta.info/nyct/service/
-73.996578001587409,40.737149332617854,6th Ave & 14th St At Se Corner,1-2-3-L-F-M,http://www.mta.info/nyct/service/
-73.996437000591513,40.737286333505651,6th Ave & 14th St At Ne Corner,1-2-3-L-F-M,http://www.mta.info/nyct/service/
-73.995685001261975,40.7385293338045,6th Ave & 16th St At Se Corner,1-2-3-L-F-M,http://www.mta.info/nyct/service/
-73.990172999000265,40.734474334684464,4th Ave & 14th St At Sw Corner,4-5-6-6 Express-L-N-Q-R,http://www.mta.info/nyct/service/
-73.991276999052431,40.734891331847201,Broadway & 14th St At Sw Corner,4-5-6-6 Express-L-N-Q-R,http://www.mta.info/nyct/service/
-73.990282998410876,40.735344334500645,4th Ave & 15th St At Sw Corner,4-5-6-6 Express-L-N-Q-R,http://www.mta.info/nyct/service/
-73.990446998552059,40.736523331822298,Broadway & 16th St At Ne Corner,4-5-6-6 Express-L-N-Q-R,http://www.mta.info/nyct/service/
-73.998035000637472,40.741206332856827,7th Ave & 18th St At Nw Corner (Downtown Only),1-2,http://www.mta.info/nyct/service/
-73.997697998765958,40.740920334529264,7th Ave & 18th St At Se Corner (Uptown Only),1-2,http://www.mta.info/nyct/service/
-73.997556998996615,40.741783333492364,7th Ave & 18th St At Nw Corner (Downtown Only),1-2,http://www.mta.info/nyct/service/
-73.997196999720032,40.741617333188522,7th Ave & 18th St At Ne Corner (Uptown Only),1-2,http://www.mta.info/nyct/service/
-73.998145001739175,40.745299334069522,8th Ave & 23rd St At Ne Corner,A-C-E,http://www.mta.info/nyct/service/
-73.998144999912512,40.746110332904976,8th Ave & 24th St At Nw Corner,A-C-E,http://www.mta.info/nyct/service/
-73.997801000620484,40.746603333045833,8th Ave & 25th St At Sw Corner,A-C-E,http://www.mta.info/nyct/service/
-74.008356999675726,40.714200331567845,Church St & Warren St At Se Corner,2-3-A-C-E,http://www.mta.info/nyct/service/
-74.006760001652083,40.71343733268769,Broadway & Warren St At Ne Corner,N-R,http://www.mta.info/nyct/service/
-73.997710999686404,40.746732332153954,8th Ave & 25th St At Nw Corner,A-C-E,http://www.mta.info/nyct/service/
-73.997142000516433,40.746483334491899,8th Ave & 25th St At Ne Corner,A-C-E,http://www.mta.info/nyct/service/
-73.995608001564307,40.743910333969666,7th Ave & 23rd St At Se Corner (Uptown Only),1-2,http://www.mta.info/nyct/service/
-73.995811000573923,40.744313333075162,7th Ave & 23rd St At Nw Corner (Downtown Only),1-2,http://www.mta.info/nyct/service/
-73.995347999001282,40.744120332415662,7th Ave & 23rd St At Ne Corner (Uptown Only),1-2,http://www.mta.info/nyct/service/
